路線,路線_方向,編號,地點,起迄地名,起迄樁號,方向,對應VD,VD里程,路段編號,速限(km/hr),
台61甲,台61甲_北,Ⅰ-I30,里程牌1K+600,台北港~八里,0K+000~2K+888,北,無對應VD設備,,1006111102000F,80,
台61甲,台61甲_南,Ⅰ-I30,里程牌1K+600,台北港~八里,0K+000~2K+888,南,VD-12-0610-001-01,1000,1006111002000F,80,
台61線,台61線_北,Ⅰ-I22,八里13K+750,八里～林口,12K+600~22K+567,北,VD-12-0610-015-01,15700,1006100101400F,90,
台61線,台61線_南,Ⅰ-I22,八里13K+750,八里～林口,12K+600~22K+567,南,無對應VD設備,,1006100001400F,90,
台61線,台61線_北,Ⅰ-I23,竹圍27K+150,林口～沙崙交流道,22K+567~30K+200,北,VD-13-0610-029-01,29800,1006100102700H,70,
台61線,台61線_南,Ⅰ-I23,竹圍27K+150,林口～沙崙交流道,22K+567~30K+200,南,VD-13-0610-027-02,27540,1006100002700H,70,
台61線,台61線_北,Ⅰ-I23側車道,竹圍26K+800,林口交流道～沙崙交流道,22K+567~30K+200,北,,,,,
台61線,台61線_南,Ⅰ-I23側車道,竹圍26K+800,林口交流道～沙崙交流道,22K+567~30K+200,南,,,,,
台61線,台61線_北,Ⅰ-I24,內海33K+300,沙崙交流道～大園交流道,30K+200~34K+950,北,無對應VD設備,,1006100103400H,90,
台61線,台61線_南,Ⅰ-I24,內海33K+300,沙崙交流道～大園交流道,30K+200~34K+950,南,VD-13-0610-032-01,32200,1006100003300H,90,
台61線,台61線_北,Ⅰ-I24側車道,內海33K+400,沙崙交流道～大園交流道,30K+200~34K+950,北,,,,,
台61線,台61線_南,Ⅰ-I24側車道,內海33K+400,沙崙交流道～大園交流道,30K+200~34K+950,南,,,,,
台61線,台61線_北,Ⅰ-I25,大潭47K+100,大園交流道~觀音交流道,34K+950~48K+700,北,VD-13-0610-036-01,36100,1006100104700H,,
台61線,台61線_南,Ⅰ-I25,大潭47K+100,大園交流道~觀音交流道,34K+950~48K+700,南,VD-13-0610-047-01,47200,1006100004700H,90,
台61線,台61線_北,Ⅰ-I25側車道,大潭48K+000,大園交流道~觀音交流道,34K+950~48K+700,北,,,,,
台61線,台61線_南,Ⅰ-I25側車道,大潭48K+000,大園交流道~觀音交流道,34K+950~48K+700,南,,,,,
台61線,台61線_北,Ⅰ-I26,永安48K+800,觀音交流道~鳳鼻隧道北端,48K+700~66K+664,北,VD-13-0610-050-01,50700,1006100105000H,90,
台61線,台61線_南,Ⅰ-I26,永安48K+800,觀音交流道~鳳鼻隧道北端,48K+700~66K+664,南,VD-13-0610-053-01,53700,1006100005000H,90,
台61線,台61線_北,Ⅰ-I26側車道,永安53K+000,觀音交流道~鳳鼻隧道北端,48K+700~66K+664,北,,,,,
台61線,台61線_南,Ⅰ-I26側車道,永安53K+000,觀音交流道~鳳鼻隧道北端,48K+700~66K+664,南,,,,,
台61線,台61線_北,Ⅰ-I27,浸水橋77K+680,鳳鼻隧道北端～香山,66K+664~78K+000,北,VD-16-0610-067-02,67757,1006100107800O,60,
